DetId,x,y,z,dx,dy
0,-0.51389,56.0044,-203.357,0.707107,0.707107
1,0.51389,56.0044,-203.361,-0.707107,0.707107
2,-0.51389,56.0044,-203.366,0.707107,0.707107
3,0.51389,56.0044,-203.37,-0.707107,0.707107
4,-0.51389,56.0044,-203.375,0.707107,0.707107
5,0.51389,56.0044,-203.379,-0.707107,0.707107
6,-0.51389,56.0044,-203.384,0.707107,0.707107
7,0.51389,56.0044,-203.388,-0.707107,0.707107
8,-0.51389,56.0044,-203.393,0.707107,0.707107
9,0.51389,56.0044,-203.397,-0.707107,0.707107
10,0.51389,-56.3534,-203.357,-0.707107,-0.707107
11,-0.51389,-56.3534,-203.361,0.707107,-0.707107
12,0.51389,-56.3534,-203.366,-0.707107,-0.707107
13,-0.51389,-56.3534,-203.37,0.707107,-0.707107
14,0.51389,-56.3534,-203.375,-0.707107,-0.707107
15,-0.51389,-56.3534,-203.379,0.707107,-0.707107
16,0.51389,-56.3534,-203.384,-0.707107,-0.707107
17,-0.51389,-56.3534,-203.388,0.707107,-0.707107
18,0.51389,-56.3534,-203.393,-0.707107,-0.707107
19,-0.51389,-56.3534,-203.397,0.707107,-0.707107
20,57.1404,0.51389,-203.807,0.707107,-0.707107
21,57.1404,-0.51389,-203.811,0.707107,0.707107
22,57.1404,0.51389,-203.816,0.707107,-0.707107
23,57.1404,-0.51389,-203.82,0.707107,0.707107
24,57.1404,0.51389,-203.825,0.707107,-0.707107
25,57.1404,-0.51389,-203.829,0.707107,0.707107
26,57.1404,0.51389,-203.834,0.707107,-0.707107
27,57.1404,-0.51389,-203.838,0.707107,0.707107
28,57.1404,0.51389,-203.843,0.707107,-0.707107
29,57.1404,-0.51389,-203.847,0.707107,0.707107
30,21.5567,3.92188,-212.53,0.795478,-0.605982
31,21.7284,2.83688,-212.534,0.606163,0.79534
32,21.5692,3.91233,-212.539,0.795438,-0.606035
33,21.7415,2.85398,-212.543,0.606171,0.795335
34,21.6243,3.87031,-212.548,0.795366,-0.606129
35,21.7417,2.85433,-212.552,0.606194,0.795316
36,21.6141,3.87805,-212.557,0.795067,-0.606521
37,21.758,2.87562,-212.561,0.606061,0.795418
38,21.6719,3.83394,-212.566,0.794902,-0.606737
39,21.7814,2.90627,-212.57,0.606815,0.794843
40,-3.53422,19.5787,-212.98,0.600879,0.79934
41,-2.4838,19.8529,-212.984,-0.798052,0.602589
42,-3.49403,19.6323,-212.989,0.602758,0.797924
43,-2.46202,19.8365,-212.993,-0.798165,0.602439
44,-3.45947,19.6781,-212.998,0.602566,0.798069
45,-2.43764,19.818,-213.002,-0.798083,0.602548
46,-3.41326,19.7391,-213.007,0.603226,0.79757
47,-2.41513,19.801,-213.011,-0.798197,0.602397
48,-3.39824,19.7589,-213.016,0.603401,0.797438
49,-2.41261,19.7991,-213.02,-0.797848,0.602858
50,3.50564,-20.1651,-212.98,-0.599875,-0.800094
51,2.60544,-20.2593,-212.984,0.800198,-0.599737
52,3.54364,-20.1144,-212.989,-0.600437,-0.799672
53,2.5793,-20.2397,-212.993,0.799654,-0.60046
54,3.57203,-20.0767,-212.998,-0.60149,-0.79888
55,2.5645,-20.2286,-213.002,0.799251,-0.600998
56,3.58687,-20.057,-213.007,-0.601223,-0.799081
57,2.5208,-20.1957,-213.011,0.798967,-0.601375
58,3.64636,-19.9781,-213.016,-0.601843,-0.798614
59,2.50117,-20.1808,-213.02,0.798272,-0.602296
200,-1.18436,20.1958,-214.608,0.706481,0.707732
201,0.00788985,20.2608,-214.612,-0.707498,0.706716
202,-1.12691,20.2533,-214.617,0.706626,0.707587
203,-0.0363901,20.305,-214.621,-0.707271,0.706943
204,-1.08217,20.2981,-214.626,0.707112,0.707101
205,-0.0444101,20.313,-214.63,-0.707363,0.706851
206,-1.01836,20.3618,-214.635,0.707417,0.706796
207,-0.0791301,20.3478,-214.639,-0.706728,0.707486
208,-0.94717,20.4328,-214.644,0.707571,0.706642
209,-0.0612201,20.3299,-214.648,-0.707001,0.707213
210,0.15498,-20.5919,-214.608,-0.706268,-0.707945
211,-0.79556,-20.6764,-214.612,0.707977,-0.706235
212,0.15641,-20.5905,-214.617,-0.706366,-0.707847
213,-0.83961,-20.6325,-214.621,0.707566,-0.706647
214,0.158,-20.5889,-214.626,-0.706463,-0.70775
215,-0.895,-20.5771,-214.63,0.70758,-0.706634
216,0.1691,-20.5778,-214.635,-0.706736,-0.707477
217,-0.93245,-20.5397,-214.639,0.70751,-0.706704
218,0.11791,-20.629,-214.644,-0.706791,-0.707422
219,-0.97693,-20.4953,-214.648,0.707806,-0.706406
220,21.6241,1.64991,-215.058,0.702293,-0.711888
221,21.6591,0.54083,-215.062,0.711737,0.702446
222,21.6568,1.61686,-215.067,0.700992,-0.713169
223,21.6835,0.56491,-215.071,0.712211,0.701965
224,21.6816,1.5916,-215.076,0.702428,-0.711755
225,21.6729,0.55444,-215.08,0.712739,0.701429
226,21.7101,1.5627,-215.085,0.702126,-0.712053
227,21.694,0.57527,-215.089,0.712376,0.701798
228,21.7374,1.5349,-215.094,0.701928,-0.712248
229,21.7004,0.58159,-215.098,0.712053,0.702126
230,21.1491,0.77036,-219.53,0.705489,-0.708721
231,21.0889,-0.43641,-219.534,0.708652,0.705558
232,21.1692,0.75021,-219.539,0.705233,-0.708976
233,21.1636,-0.36217,-219.543,0.708489,0.705722
234,21.193,0.72626,-219.548,0.705664,-0.708546
235,21.2142,-0.31177,-219.552,0.708884,0.705325
236,21.2543,0.66472,-219.557,0.70613,-0.708082
237,21.2683,-0.25806,-219.561,0.708767,0.705443
238,21.279,0.63981,-219.566,0.705872,-0.70834
239,21.3137,-0.21267,-219.57,0.707871,0.706341
240,-0.68881,20.6915,-219.98,0.707389,0.706825
241,0.48483,20.6588,-219.984,-0.707329,0.706885
242,-0.65123,20.729,-219.989,0.707197,0.707017
243,0.43364,20.71,-219.993,-0.706943,0.70727
244,-0.63805,20.7422,-219.998,0.707266,0.706948
245,0.36989,20.7738,-220.002,-0.707226,0.706987
246,-0.60706,20.7731,-220.007,0.707562,0.706651
247,0.37905,20.7647,-220.011,-0.706873,0.707341
248,-0.57573,20.8044,-220.016,0.707163,0.707051
249,0.30898,20.8351,-220.02,-0.706118,0.708094
250,0.6266,-21.1636,-219.98,-0.707033,-0.707181
251,-0.2537,-21.2966,-219.984,0.707087,-0.707127
252,0.63353,-21.1566,-219.989,-0.707488,-0.706726
253,-0.32894,-21.2213,-219.993,0.707039,-0.707175
254,0.63586,-21.1543,-219.998,-0.707279,-0.706934
255,-0.40962,-21.1405,-220.002,0.706907,-0.707306
256,0.61251,-21.1776,-220.007,-0.707239,-0.706975
