DetId,x,y,z,dx,dy
0,-0.51389,56.0044,-203.357,0.707107,0.707107
1,0.51389,56.0044,-203.361,-0.707107,0.707107
2,-0.51389,56.0044,-203.366,0.707107,0.707107
3,0.51389,56.0044,-203.37,-0.707107,0.707107
4,-0.51389,56.0044,-203.375,0.707107,0.707107
5,0.51389,56.0044,-203.379,-0.707107,0.707107
6,-0.51389,56.0044,-203.384,0.707107,0.707107
7,0.51389,56.0044,-203.388,-0.707107,0.707107
8,-0.51389,56.0044,-203.393,0.707107,0.707107
9,0.51389,56.0044,-203.397,-0.707107,0.707107
10,0.51389,-56.3534,-203.357,-0.707107,-0.707107
11,-0.51389,-56.3534,-203.361,0.707107,-0.707107
12,0.51389,-56.3534,-203.366,-0.707107,-0.707107
13,-0.51389,-56.3534,-203.37,0.707107,-0.707107
14,0.51389,-56.3534,-203.375,-0.707107,-0.707107
15,-0.51389,-56.3534,-203.379,0.707107,-0.707107
16,0.51389,-56.3534,-203.384,-0.707107,-0.707107
17,-0.51389,-56.3534,-203.388,0.707107,-0.707107
18,0.51389,-56.3534,-203.393,-0.707107,-0.707107
19,-0.51389,-56.3534,-203.397,0.707107,-0.707107
20,57.1404,0.51389,-203.807,0.707107,-0.707107
21,57.1404,-0.51389,-203.811,0.707107,0.707107
22,57.1404,0.51389,-203.816,0.707107,-0.707107
23,57.1404,-0.51389,-203.82,0.707107,0.707107
24,57.1404,0.51389,-203.825,0.707107,-0.707107
25,57.1404,-0.51389,-203.829,0.707107,0.707107
26,57.1404,0.51389,-203.834,0.707107,-0.707107
27,57.1404,-0.51389,-203.838,0.707107,0.707107
28,57.1404,0.51389,-203.843,0.707107,-0.707107
29,57.1404,-0.51389,-203.847,0.707107,0.707107
30,21.6001,3.98293,-212.53,0.795283,-0.606238
31,21.7722,2.89728,-212.534,0.606429,0.795138
32,21.6127,3.97338,-212.539,0.795252,-0.60628
33,21.7853,2.91447,-212.543,0.606416,0.795147
34,21.6677,3.93139,-212.548,0.795171,-0.606385
35,21.7855,2.91468,-212.552,0.606453,0.795119
36,21.6575,3.93916,-212.557,0.794868,-0.606783
37,21.8019,2.93626,-212.561,0.606332,0.795212
38,21.7154,3.89496,-212.566,0.794698,-0.607005
39,21.8256,2.96726,-212.57,0.607059,0.794657
40,-3.49558,19.6564,-212.98,0.601138,0.799146
41,-2.44572,19.9289,-212.984,-0.797872,0.602827
42,-3.45571,19.7097,-212.989,0.603008,0.797736
43,-2.42393,19.9125,-212.993,-0.797957,0.602715
44,-3.42186,19.7544,-212.998,0.602827,0.797872
45,-2.39974,19.8942,-213.002,-0.797888,0.602806
46,-3.37532,19.8159,-213.007,0.603486,0.797374
47,-2.37731,19.8773,-213.011,-0.797989,0.602672
48,-3.36049,19.8355,-213.016,0.603676,0.79723
49,-2.37505,19.8755,-213.02,-0.797653,0.603117
50,3.53283,-20.1127,-212.98,-0.600162,-0.799878
51,2.63172,-20.2059,-212.984,0.799985,-0.60002
52,3.5709,-20.0619,-212.989,-0.600733,-0.79945
53,2.60572,-20.1865,-212.993,0.799439,-0.600748
54,3.59949,-20.0238,-212.998,-0.601769,-0.79867
55,2.59116,-20.1755,-213.002,0.799031,-0.60129
56,3.61439,-20.0041,-213.007,-0.601509,-0.798866
57,2.54776,-20.1429,-213.011,0.798756,-0.601655
58,3.67392,-19.9252,-213.016,-0.602126,-0.798401
59,2.5284,-20.1282,-213.02,0.798055,-0.602585
200,-1.14579,20.2746,-214.608,0.706681,0.707532
201,0.0433499,20.3372,-214.612,-0.707298,0.706916
202,-1.08868,20.3318,-214.617,0.706836,0.707378
203,-0.000770147,20.3813,-214.621,-0.707069,0.707144
204,-1.04432,20.3762,-214.626,0.707301,0.706912
205,-0.00875015,20.3893,-214.63,-0.707175,0.707038
206,-0.98073,20.4397,-214.635,0.707626,0.706587
207,-0.0433901,20.424,-214.639,-0.706538,0.707675
208,-0.9098,20.5105,-214.644,0.70777,0.706443
209,-0.0252201,20.4057,-214.648,-0.706773,0.70744
210,0.18137,-20.5379,-214.608,-0.706469,-0.707744
211,-0.76825,-20.6234,-214.612,0.707787,-0.706426
212,0.18284,-20.5364,-214.617,-0.706578,-0.707635
213,-0.81213,-20.5796,-214.621,0.707371,-0.706842
214,0.18433,-20.5349,-214.626,-0.706674,-0.707539
215,-0.86737,-20.5244,-214.63,0.707396,-0.706818
216,0.19542,-20.5238,-214.635,-0.706929,-0.707284
217,-0.90471,-20.4871,-214.639,0.707304,-0.706909
218,0.14423,-20.575,-214.644,-0.706993,-0.707221
219,-0.95083,-20.441,-214.648,0.707568,-0.706645
220,21.6584,1.71801,-215.058,0.702128,-0.712051
221,21.6928,0.6099,-215.062,0.7119,0.702281
222,21.6909,1.68521,-215.067,0.700831,-0.713328
223,21.7171,0.63384,-215.071,0.712368,0.701806
224,21.7153,1.66027,-215.076,0.702249,-0.711932
225,21.7062,0.62316,-215.08,0.712908,0.701258
226,21.7429,1.63236,-215.085,0.701982,-0.712195
227,21.7277,0.64423,-215.089,0.712526,0.701645
228,21.7702,1.60457,-215.094,0.701761,-0.712413
229,21.7338,0.65034,-215.098,0.712217,0.70196
230,21.1807,0.85505,-219.53,0.705397,-0.708812
231,21.1194,-0.35017,-219.534,0.708712,0.705498
232,21.2003,0.83538,-219.539,0.705177,-0.709031
233,21.194,-0.27603,-219.543,0.708543,0.705668
234,21.2235,0.81201,-219.548,0.705582,-0.708628
235,21.2444,-0.22592,-219.552,0.708994,0.705214
236,21.2847,0.75049,-219.557,0.706024,-0.708188
237,21.2983,-0.17229,-219.561,0.708838,0.705372
238,21.3087,0.72641,-219.566,0.70579,-0.708421
239,21.3431,-0.12745,-219.57,0.707992,0.706221
240,-0.66285,20.7979,-219.98,0.707474,0.706739
241,0.51036,20.7646,-219.984,-0.707258,0.706955
242,-0.62558,20.8351,-219.989,0.707283,0.706931
243,0.45933,20.8156,-219.993,-0.706853,0.707361
244,-0.61257,20.848,-219.998,0.707351,0.706862
245,0.39574,20.8793,-220.002,-0.707131,0.707083
246,-0.58187,20.8787,-220.007,0.707648,0.706566
247,0.40505,20.87,-220.011,-0.706789,0.707424
248,-0.55075,20.9098,-220.016,0.707253,0.70696
249,0.33513,20.9402,-220.02,-0.706028,0.708184
250,0.64741,-21.0895,-219.98,-0.706979,-0.707235
251,-0.23139,-21.2237,-219.984,0.707134,-0.70708
252,0.6545,-21.0824,-219.989,-0.707424,-0.706789
253,-0.30661,-21.1484,-219.993,0.707088,-0.707125
254,0.65687,-21.0801,-219.998,-0.70723,-0.706984
255,-0.38696,-21.0679,-220.002,0.706966,-0.707247
