DetId,x,y,z,dx,dy
0,-0.51389,56.0044,-203.357,0.707107,0.707107
1,0.51389,56.0044,-203.361,-0.707107,0.707107
2,-0.51389,56.0044,-203.366,0.707107,0.707107
3,0.51389,56.0044,-203.37,-0.707107,0.707107
4,-0.51389,56.0044,-203.375,0.707107,0.707107
5,0.51389,56.0044,-203.379,-0.707107,0.707107
6,-0.51389,56.0044,-203.384,0.707107,0.707107
7,0.51389,56.0044,-203.388,-0.707107,0.707107
8,-0.51389,56.0044,-203.393,0.707107,0.707107
9,0.51389,56.0044,-203.397,-0.707107,0.707107
10,0.51389,-56.3534,-203.357,-0.707107,-0.707107
11,-0.51389,-56.3534,-203.361,0.707107,-0.707107
12,0.51389,-56.3534,-203.366,-0.707107,-0.707107
13,-0.51389,-56.3534,-203.37,0.707107,-0.707107
14,0.51389,-56.3534,-203.375,-0.707107,-0.707107
15,-0.51389,-56.3534,-203.379,0.707107,-0.707107
16,0.51389,-56.3534,-203.384,-0.707107,-0.707107
17,-0.51389,-56.3534,-203.388,0.707107,-0.707107
18,0.51389,-56.3534,-203.393,-0.707107,-0.707107
19,-0.51389,-56.3534,-203.397,0.707107,-0.707107
20,57.1404,0.51389,-203.807,0.707107,-0.707107
21,57.1404,-0.51389,-203.811,0.707107,0.707107
22,57.1404,0.51389,-203.816,0.707107,-0.707107
23,57.1404,-0.51389,-203.82,0.707107,0.707107
24,57.1404,0.51389,-203.825,0.707107,-0.707107
25,57.1404,-0.51389,-203.829,0.707107,0.707107
26,57.1404,0.51389,-203.834,0.707107,-0.707107
27,57.1404,-0.51389,-203.838,0.707107,0.707107
28,57.1404,0.51389,-203.843,0.707107,-0.707107
29,57.1404,-0.51389,-203.847,0.707107,0.707107
30,21.5702,3.94469,-212.53,0.795423,-0.606055
31,21.7414,2.8597,-212.534,0.606259,0.795267
32,21.5825,3.93529,-212.539,0.795385,-0.606105
33,21.7547,2.87706,-212.543,0.606214,0.795301
34,21.6374,3.89347,-212.548,0.795322,-0.606187
35,21.7549,2.87732,-212.552,0.606241,0.795281
36,21.6271,3.90126,-212.557,0.795028,-0.606573
37,21.7709,2.8983,-212.561,0.606149,0.795351
38,21.685,3.85709,-212.566,0.794846,-0.606811
39,21.7947,2.92942,-212.57,0.606869,0.794802
40,-3.52126,19.604,-212.98,0.600944,0.799291
41,-2.47042,19.8782,-212.984,-0.798007,0.602648
42,-3.48121,19.6575,-212.989,0.602832,0.797868
43,-2.44863,19.8617,-212.993,-0.798103,0.602521
44,-3.44637,19.7035,-212.998,0.602638,0.798015
45,-2.42445,19.8435,-213.002,-0.798041,0.602604
46,-3.40083,19.7637,-213.007,0.60331,0.797507
47,-2.40201,19.8265,-213.011,-0.798135,0.602479
48,-3.38627,19.7829,-213.016,0.603465,0.79739
49,-2.39971,19.8247,-213.02,-0.797787,0.602939
50,3.51266,-20.1445,-212.98,-0.600015,-0.799989
51,2.61215,-20.2386,-212.984,0.80008,-0.599893
52,3.55072,-20.0937,-212.989,-0.600588,-0.799559
53,2.58625,-20.2193,-212.993,0.799544,-0.600608
54,3.57921,-20.0558,-212.998,-0.601643,-0.798765
55,2.57175,-20.2084,-213.002,0.799138,-0.601148
56,3.59406,-20.0361,-213.007,-0.601373,-0.798968
57,2.52851,-20.1758,-213.011,0.798856,-0.601522
58,3.6537,-19.957,-213.016,-0.601995,-0.7985
59,2.50919,-20.1612,-213.02,0.798163,-0.602441
200,-1.17525,20.2163,-214.608,0.706534,0.707679
201,0.0138499,20.2786,-214.612,-0.707455,0.706758
202,-1.11815,20.2734,-214.617,0.706685,0.707528
203,-0.0302601,20.3226,-214.621,-0.707226,0.706987
204,-1.07392,20.3177,-214.626,0.707161,0.707053
205,-0.0382801,20.3307,-214.63,-0.707332,0.706882
206,-1.01034,20.3812,-214.635,0.707474,0.706739
207,-0.0729201,20.3654,-214.639,-0.706694,0.70752
208,-0.93966,20.4517,-214.644,0.70761,0.706603
209,-0.0547801,20.3472,-214.648,-0.706897,0.707316
210,0.16314,-20.594,-214.608,-0.706332,-0.707881
211,-0.78827,-20.6778,-214.612,0.70791,-0.706302
212,0.16456,-20.5925,-214.617,-0.70642,-0.707793
213,-0.83219,-20.634,-214.621,0.707487,-0.706726
214,0.16604,-20.5911,-214.626,-0.706523,-0.70769
215,-0.88745,-20.5787,-214.63,0.707511,-0.706702
216,0.17713,-20.58,-214.635,-0.706772,-0.707441
217,-0.92465,-20.5415,-214.639,0.707425,-0.706789
218,0.12589,-20.6312,-214.644,-0.706842,-0.707371
219,-0.97505,-20.4913,-214.648,0.707844,-0.706369
220,21.6383,1.6706,-215.058,0.702298,-0.711883
221,21.6717,0.56367,-215.062,0.711721,0.702462
222,21.67,1.63856,-215.067,0.700995,-0.713166
223,21.6956,0.58731,-215.071,0.712217,0.70196
224,21.6941,1.61397,-215.076,0.702406,-0.711777
225,21.6847,0.57657,-215.08,0.712765,0.701402
226,21.7212,1.5865,-215.085,0.702143,-0.712036
227,21.7067,0.59818,-215.089,0.712356,0.701819
228,21.7479,1.55934,-215.094,0.701914,-0.712262
229,21.7128,0.6042,-215.098,0.712062,0.702117
230,21.1595,0.79966,-219.53,0.705504,-0.708706
231,21.098,-0.40463,-219.534,0.708598,0.705613
232,21.1783,0.78071,-219.539,0.705271,-0.708938
233,21.1722,-0.33086,-219.543,0.708466,0.705745
234,21.2016,0.7573,-219.548,0.705694,-0.708517
235,21.2224,-0.28099,-219.552,0.708901,0.705308
236,21.2623,0.69636,-219.557,0.706145,-0.708067
237,21.277,-0.22662,-219.561,0.708707,0.705503
238,21.2861,0.67234,-219.566,0.705916,-0.708296
239,21.322,-0.18163,-219.57,0.707851,0.706362
240,-0.68747,20.7198,-219.98,0.707361,0.706853
241,0.48592,20.6864,-219.984,-0.70735,0.706863
242,-0.6502,20.757,-219.989,0.70717,0.707044
243,0.43486,20.7374,-219.993,-0.706965,0.707248
244,-0.63721,20.77,-219.998,0.70724,0.706973
245,0.37094,20.8014,-220.002,-0.707252,0.706962
246,-0.60651,20.8006,-220.007,0.707538,0.706675
247,0.38043,20.7919,-220.011,-0.706895,0.707319
248,-0.57538,20.8317,-220.016,0.707153,0.707061
249,0.3103,20.8624,-220.02,-0.706144,0.708068
250,0.62963,-21.1329,-219.98,-0.706844,-0.70737
251,-0.24939,-21.2667,-219.984,0.70727,-0.706943
252,0.63672,-21.1258,-219.989,-0.707288,-0.706925
253,-0.32452,-21.1915,-219.993,0.70722,-0.706994
254,0.63903,-21.1235,-219.998,-0.707098,-0.707115
255,-0.40472,-21.1112,-220.002,0.707107,-0.707106
256,0.61585,-21.1466,-220.007,-0.707059,-0.707155
