DetId,x,y,z,dx,dy
0,-0.51389,56.0044,-203.357,0.707107,0.707107
1,0.51389,56.0044,-203.361,-0.707107,0.707107
2,-0.51389,56.0044,-203.366,0.707107,0.707107
3,0.51389,56.0044,-203.37,-0.707107,0.707107
4,-0.51389,56.0044,-203.375,0.707107,0.707107
5,0.51389,56.0044,-203.379,-0.707107,0.707107
6,-0.51389,56.0044,-203.384,0.707107,0.707107
7,0.51389,56.0044,-203.388,-0.707107,0.707107
8,-0.51389,56.0044,-203.393,0.707107,0.707107
9,0.51389,56.0044,-203.397,-0.707107,0.707107
10,0.51389,-56.3534,-203.357,-0.707107,-0.707107
11,-0.51389,-56.3534,-203.361,0.707107,-0.707107
12,0.51389,-56.3534,-203.366,-0.707107,-0.707107
13,-0.51389,-56.3534,-203.37,0.707107,-0.707107
14,0.51389,-56.3534,-203.375,-0.707107,-0.707107
15,-0.51389,-56.3534,-203.379,0.707107,-0.707107
16,0.51389,-56.3534,-203.384,-0.707107,-0.707107
17,-0.51389,-56.3534,-203.388,0.707107,-0.707107
18,0.51389,-56.3534,-203.393,-0.707107,-0.707107
19,-0.51389,-56.3534,-203.397,0.707107,-0.707107
20,57.1404,0.51389,-203.807,0.707107,-0.707107
21,57.1404,-0.51389,-203.811,0.707107,0.707107
22,57.1404,0.51389,-203.816,0.707107,-0.707107
23,57.1404,-0.51389,-203.82,0.707107,0.707107
24,57.1404,0.51389,-203.825,0.707107,-0.707107
25,57.1404,-0.51389,-203.829,0.707107,0.707107
26,57.1404,0.51389,-203.834,0.707107,-0.707107
27,57.1404,-0.51389,-203.838,0.707107,0.707107
28,57.1404,0.51389,-203.843,0.707107,-0.707107
29,57.1404,-0.51389,-203.847,0.707107,0.707107
30,21.5524,3.93296,-212.53,0.795345,-0.606157
31,21.7243,2.84736,-212.534,0.606353,0.795196
32,21.5651,3.92331,-212.539,0.795303,-0.606213
33,21.7375,2.86473,-212.543,0.606335,0.795209
34,21.62,3.88142,-212.548,0.79523,-0.606307
35,21.7376,2.86476,-212.552,0.606382,0.795173
36,21.6097,3.88933,-212.557,0.794933,-0.606698
37,21.7539,2.88615,-212.561,0.606252,0.795272
38,21.6675,3.84513,-212.566,0.79475,-0.606937
39,21.7776,2.91718,-212.57,0.606989,0.794711
40,-3.52888,19.5881,-212.98,0.601046,0.799215
41,-2.47901,19.8611,-212.984,-0.797942,0.602734
42,-3.48881,19.6416,-212.989,0.602917,0.797804
43,-2.4573,19.8447,-212.993,-0.79804,0.602605
44,-3.45493,19.6864,-212.998,0.602725,0.797949
45,-2.43301,19.8263,-213.002,-0.797972,0.602695
46,-3.40819,19.7482,-213.007,0.603393,0.797444
47,-2.4106,19.8094,-213.011,-0.798064,0.602573
48,-3.39351,19.7675,-213.016,0.603543,0.79733
49,-2.40825,19.8076,-213.02,-0.797727,0.603019
50,3.49796,-20.1445,-212.98,-0.600048,-0.799964
51,2.59687,-20.2386,-212.984,0.80006,-0.59992
52,3.53609,-20.0936,-212.989,-0.600609,-0.799543
53,2.57092,-20.2192,-212.993,0.799517,-0.600644
54,3.5646,-20.0557,-212.998,-0.601672,-0.798743
55,2.55658,-20.2084,-213.002,0.799114,-0.60118
56,3.57955,-20.0358,-213.007,-0.601424,-0.79893
57,2.51337,-20.1759,-213.011,0.798833,-0.601553
58,3.6392,-19.9568,-213.016,-0.602026,-0.798477
59,2.49403,-20.1612,-213.02,0.798133,-0.602482
200,-1.18985,20.2098,-214.608,0.706577,0.707636
201,-0.000300147,20.2717,-214.612,-0.707399,0.706815
202,-1.13282,20.2669,-214.617,0.706731,0.707483
203,-0.0444901,20.3158,-214.621,-0.707175,0.707038
204,-1.0885,20.3113,-214.626,0.707206,0.707007
205,-0.0525901,20.3239,-214.63,-0.707281,0.706933
206,-1.02496,20.3747,-214.635,0.707526,0.706687
207,-0.0872701,20.3587,-214.639,-0.706643,0.70757
208,-0.95424,20.4453,-214.644,0.707668,0.706545
209,-0.0691901,20.3406,-214.648,-0.706863,0.707351
210,0.14602,-20.5892,-214.608,-0.706431,-0.707782
211,-0.80549,-20.6732,-214.612,0.707852,-0.70636
212,0.14741,-20.5878,-214.617,-0.706529,-0.707684
213,-0.84942,-20.6293,-214.621,0.707434,-0.706779
214,0.14889,-20.5863,-214.626,-0.706628,-0.707585
215,-0.90472,-20.5741,-214.63,0.707449,-0.706764
216,0.15996,-20.5753,-214.635,-0.706873,-0.707341
217,-0.94201,-20.5368,-214.639,0.707367,-0.706847
218,0.10869,-20.6266,-214.644,-0.706936,-0.707277
219,-0.98895,-20.4899,-214.648,0.707568,-0.706646
220,21.6189,1.67191,-215.058,0.702237,-0.711943
221,21.6529,0.56436,-215.062,0.711788,0.702395
222,21.6512,1.63925,-215.067,0.700923,-0.713237
223,21.6767,0.58793,-215.071,0.712287,0.701888
224,21.6753,1.61476,-215.076,0.702361,-0.711821
225,21.666,0.57732,-215.08,0.712835,0.701332
226,21.7026,1.58699,-215.085,0.702062,-0.712116
227,21.6878,0.59881,-215.089,0.712434,0.701739
228,21.7296,1.55956,-215.094,0.701838,-0.712337
229,21.6942,0.60512,-215.098,0.712108,0.70207
230,21.1384,0.80631,-219.53,0.705434,-0.708776
231,21.0771,-0.39847,-219.534,0.708669,0.705541
232,21.1574,0.7872,-219.539,0.70523,-0.708978
233,21.1517,-0.32424,-219.543,0.708496,0.705715
234,21.1807,0.76376,-219.548,0.705636,-0.708575
235,21.2015,-0.27476,-219.552,0.708994,0.705214
236,21.2414,0.70271,-219.557,0.706071,-0.708141
237,21.2561,-0.22042,-219.561,0.708748,0.705462
238,21.2654,0.67864,-219.566,0.705859,-0.708352
239,21.3009,-0.1757,-219.57,0.707912,0.7063
240,-0.70191,20.7198,-219.98,0.707305,0.706908
241,0.4712,20.6861,-219.984,-0.707399,0.706814
242,-0.66443,20.7572,-219.989,0.707131,0.707083
243,0.4201,20.7372,-219.993,-0.707021,0.707192
244,-0.6515,20.7701,-219.998,0.70719,0.707024
245,0.35633,20.801,-220.002,-0.707292,0.706921
246,-0.62068,20.8008,-220.007,0.707494,0.706719
247,0.36566,20.7917,-220.011,-0.706947,0.707267
248,-0.58944,20.8321,-220.016,0.70711,0.707104
249,0.29565,20.862,-220.02,-0.70618,0.708032
250,0.61233,-21.1187,-219.98,-0.707041,-0.707173
251,-0.26652,-21.2528,-219.984,0.707083,-0.70713
252,0.61958,-21.1115,-219.989,-0.707473,-0.70674
253,-0.34178,-21.1774,-219.993,0.707024,-0.70719
254,0.62189,-21.1091,-219.998,-0.707286,-0.706928
255,-0.42208,-21.097,-220.002,0.7069,-0.707314
